ID|Teks_Gabungan|Label_Sentimen|Tanggal|Link
357|Hunian Rp50 Miliar ke Atas Tetap Diburu, Ini Buktinya. EmitenNews.com - Segmen hunian super premium kembali menunjukkan daya tahannya di tengah dinamika pasar properti. Produk vila...||05/05/2026, 22:35 WIB|https://www.emitennews.com/news/hunian-rp50-miliar-ke-atas-tetap-diburu-ini-buktinya
358|Perbaikan Kinerja Berlanjut, Laba Bank Neo (BBYB) Meningkat Tajam. EmitenNews.com - PT Bank Neo Commerce Tbk (BBYB) meraih laba bersih Rp565,69 miliar, meningkat tajam dibandingkan laba bersih...||05/05/2026, 18:31 WIB|https://www.emitennews.com/news/perbaikan-kinerja-berlanjut-laba-bank-neo-bbyb-meningkat-tajam
359|Kinerja Q1-2026 Catat Rekor, TPIA Ubah Peta Industri Asia Tenggara. EmitenNews.com - PT Chandra Asri Pacific Tbk (TPIA) menandai akhir era sebagai perusahaan petrokimia tradisional dengan mengumumkan...||05/05/2026, 17:20 WIB|https://www.emitennews.com/news/kinerja-q1-2026-catat-rekor-tpia-ubah-peta-industri-asia-tenggara
360|Gaspol Ekspor, Setelah Afrika Kini SMGR Bidik Eropa. EmitenNews.com - PT Semen Indonesia (Persero) Tbk (SMGR) kian agresif menembus pasar global. Setelah ekspansi ke Afrika, emiten...||05/05/2026, 15:35 WIB|https://www.emitennews.com/news/gaspol-ekspor-setelah-afrika-kini-smgr-bidik-eropa
361|Muncul Nego 56,67 Juta Saham GOTO di Harga Miring Rp2 per Lembar. EmitenNews.com - Saham PT GoTo Gojek Tokopedia Tbk. (GOTO) tercatat ramai ditransaksikan di pasar negosiasi pada Selasa pagi...||05/05/2026, 15:30 WIB|https://www.emitennews.com/news/muncul-nego-5667-juta-saham-goto-di-harga-miring-rp2-per-lembar
362|Sahamnya Masih Digembok, Fajar Surya Wisesa (FASW) Sasar Usaha Baru. EmitenNews.com - PT Fajar Surya Wisesa (FASW), emiten yang bergerak di industri kertas dan papan kertas bergelombang, berencana...||05/05/2026, 14:00 WIB|https://www.emitennews.com/news/sahamnya-masih-digembok-fajar-surya-wisesa-fasw-sasar-usaha-baru
363|Kinerja Kuartal I ATLA, Laba Tergerus Hingga 40 Persen. EmitenNews.com - PT Atlantis Subsea Indonesia Tbk (ATLA) mencatatkan penurunan pendapatan pada kuartal I 2026 menjadi Rp16,44...||05/05/2026, 13:40 WIB|https://www.emitennews.com/news/kinerja-kuartal-i-atla-laba-tergerus-hingga-40-persen
364|Dua Bos Besar Wilmar Cahaya (CEKA) Kompak Resign Usai Laba 2025 Jeblok. EmitenNews.com - PT Wilmar Cahaya Indonesia Tbk (CEKA) menghadapi perubahan manajemen setelah menerima pengunduran diri Presiden...||05/05/2026, 13:20 WIB|https://www.emitennews.com/news/dua-bos-besar-wilmar-cahaya-ceka-kompak-resign-usai-laba-2025-jeblok
365|Emiten Prajogo (BRPT) Cetak Rekor, EBITDA Kuartal I Melejit 288 Persen. EmitenNews.com - PT Barito Pacific Tbk (BRPT) mencatatkan kinerja impresif pada kuartal I 2026 dengan membukukan rekor tertinggi...||05/05/2026, 12:00 WIB|https://www.emitennews.com/news/emiten-prajogo-brpt-cetak-rekor-ebitda-kuartal-i-melejit-288-persen
366|Saham 12 Kali ARA Beruntun dan 2 Saham FCA Ini Dikunci BEI, Ada Apa?. EmitenNews.com - Bursa Efek Indonesia (BEI) melarang sementara perdagangan atau suspensi tiga saham emiten sekaligus pada sesi...||05/05/2026, 11:30 WIB|https://www.emitennews.com/news/saham-12-kali-ara-beruntun-dan-2-saham-fca-ini-dikunci-bei-ada-apa
367|AEP Nusa Caplok 98,26 Persen Saham PNGO, Sinyal Backdoor Listing?. EmitenNews.com - PT Pinago Utama Tbk. (PNGO) diperkasai kepengendalian baru setelah AEP Nusantara Holdings Limited, entitas perusahaan...||05/05/2026, 09:55 WIB|https://www.emitennews.com/news/aep-nusa-caplok-9826-persen-saham-pngo-sinyal-backdoor-listing
368|Laba CBDK Melesat, Capai 317 Persen Q1 2026. EmitenNews.com - PT Bangun Kosambi Sukses Tbk (CBDK) mencatatkan kinerja keuangan impresif pada kuartal I 2026, seiring semakin...||05/05/2026, 09:50 WIB|https://www.emitennews.com/news/laba-cbdk-melesat-capai-317-persen-q1-2026
369|Kuartal I, Laba dan Pendapatan SMIL Kompak Meledak. EmitenNews.com - Sarana Mitra Luas (SMIL) per 31 Maret 2026 mentabulasi laba Rp30,75 miliar. Melejit 13,51 persen dari episode...||05/05/2026, 09:00 WIB|https://www.emitennews.com/news/kuartal-i-laba-dan-pendapatan-smil-kompak-meledak
370|Grup Lippo (LPGI) Bagi Dividen Rp144,73 Miliar, Cair 29 Mei 2026. EmitenNews.com - Lippo Insurance (LPGI) bakal menabur dividen Rp30 miliar. Alokasi dividen itu, diambil sekitar 20,73 persen...||05/05/2026, 08:45 WIB|https://www.emitennews.com/news/grup-lippo-lpgi-bagi-dividen-rp14473-miliar-cair-29-mei-2026
371|Kinerja Solid, CBDK Catat Lompatan Laba 317 Persen Kuartal I. EmitenNews.com - Bangun Kosambi Sukses (CBDK) mengawali tahun 2026 dengan kinerja solid. Itu didorong monetisasi kawasan bisnis...||05/05/2026, 08:30 WIB|https://www.emitennews.com/news/kinerja-solid-cbdk-catat-lompatan-laba-317-persen-kuartal-i
372|TUGU Guyur Dividen Rp355,53 Miliar, Intip Jadwal Lengkapnya. EmitenNews.com - Asuransi Indonesia (TUGU) bakal mengguyur dividen tunai Rp355,53 miliar. Alokasi dividen itu, diambil sekitar...||05/05/2026, 08:15 WIB|https://www.emitennews.com/news/tugu-guyur-dividen-rp35553-miliar-intip-jadwal-lengkapnya
373|AMAG Tebar Dividen Rp30 per Saham, Cum Date Besok!. EmitenNews.com - PT Asuransi Multi Artha Guna Tbk (AMAG) resmi mengumumkan rencana pembagian dividen tunai untuk tahun buku 2025....||05/05/2026, 07:45 WIB|https://www.emitennews.com/news/amag-tebar-dividen-rp30-per-saham-cum-date-besok
374|Kuartal I, Laba PANI Meningkat Lebih dari 10 Kali Lipat. EmitenNews.com - Pantai Indah Kapuk (PANI) kuartal pertama 2026 mencatat pendapatan Rp1,1 triliun, tumbuh 82 persen dibanding...||05/05/2026, 07:30 WIB|https://www.emitennews.com/news/kuartal-i-laba-pani-meningkat-lebih-dari-10-kali-lipat
375|MLPT Tabur Dividen Rp80 per Lembar, Cum Date 8 Mei 2026. EmitenNews.com - Multipolar Technology (MLPT) akan mendistribusikan dividen tunai Rp250,31 miliar. Alokasi dividen itu, diambil...||05/05/2026, 07:15 WIB|https://www.emitennews.com/news/mlpt-tabur-dividen-rp80-per-lembar-cum-date-8-mei-2026
376|Bursa Buka Suspensi WBSA Usai Seminggu Digembok, Kini Masuk FCA!. EmitenNews.com - Bursa Efek Indonesia (BEI) mencabut suspensi saham PT BSA Logistics Indonesia Tbk. (WBSA). Saham logistik besutan...||05/05/2026, 07:10 WIB|https://www.emitennews.com/news/bursa-buka-suspensi-wbsa-usai-seminggu-digembok-kini-masuk-fca
377|Kinerja ABMM Tertekan, Salurkan Dividen, Tengok Bagian Lo Kheng Hong. EmitenNews.com - ABM Investama (ABMM) memutuskan pembagian dividen tunai USD15,5 juta setara Rp267,06 miliar. Alokasi dividen...||05/05/2026, 06:45 WIB|https://www.emitennews.com/news/kinerja-abmm-tertekan-salurkan-dividen-tengok-bagian-lo-kheng-hong
378|Masuk Daftar Efek Marjin, Transaksi Saham UVCR Melonjak Drastis. EmitenNews.com - Trimegah Karya Pratama (UVCR), emiten teknologi bergerak bidang layanan voucher digital, dan gift card, kembali...||05/05/2026, 06:30 WIB|https://www.emitennews.com/news/masuk-daftar-efek-marjin-transaksi-saham-uvcr-melonjak-drastis
379|PZZA Jadwal Dividen, Putus Tren Negatif, dan Konsisten Laba. EmitenNews.com - Sarimelati Kencana (PZZA) akan menggulirkan dividen tunai Rp5 miliar. Alokasi dividen itu, diambil dari bagian...||05/05/2026, 06:15 WIB|https://www.emitennews.com/news/pzza-jadwal-dividen-putus-tren-negatif-dan-konsisten-laba
380|Target Pendapatan Naik 1.584 Persen, GPSO Pede Raih Laba Edisi 2026. EmitenNews.com - Pada tahun 2026, Geoprima Solusi (GPSO) dengan wajah baru setelah di akuisisi PT PIMSF Pulogadung, bagian dari...||05/05/2026, 06:00 WIB|https://www.emitennews.com/news/target-pendapatan-naik-1584-persen-gpso-pede-raih-laba-edisi-2026
381|RAJA Catat Laba Bersih Tumbuh 14 Persen, Diversifikasi jadi Kunci. EmitenNews.com - Perusahaan energi terintegrasi terkemuka, Rukun Raharja (RAJA) kuartal I 2026 sukses mempertahankan kinerja...||04/05/2026, 21:15 WIB|https://www.emitennews.com/news/raja-catat-laba-bersih-tumbuh-14-persen-diversifikasi-jadi-kunci
382|Berkat Hauling Road, Pendapatan RMKE Tumbuh 2,4 Kali Lipat Kuartal I. EmitenNews.com - RMK Energy (RMKE), perusahaan penyedia jasa logistik batu bara terintegrasi, berhasil mengawali tahun 2026 dengan...||04/05/2026, 20:57 WIB|https://www.emitennews.com/news/berkat-hauling-road-pendapatan-rmke-tumbuh-24-kali-lipat-kuartal-i
383|BSDE Catat Prapenjualan Rp2,54T, Ditopang Permintaan Properti Hunian. EmitenNews.com - PT Bumi Serpong Damai Tbk (BSDE) membuka tahun 2026 dengan kinerja positif dengan mencatatkan prapenjualan sebesar...||04/05/2026, 16:00 WIB|https://www.emitennews.com/news/bsde-catat-prapenjualan-rp254t-ditopang-permintaan-properti-hunian
384|RMKE Umumkan Rampung Buyback, Harga Saham Tertekan. EmitenNews.com - PT RMK Energy Tbk (RMKE) resmi menuntaskan pelaksanaan program pembelian kembali saham (buyback) dalam kondisi...||04/05/2026, 15:29 WIB|https://www.emitennews.com/news/rmke-umumkan-rampung-buyback-harga-saham-tertekan
385|Laba Emiten Alkes OMED Q1-2026 Melejit, Terdongkrak Belanja Pemerintah. EmitenNews.com - Emiten yang memproduksi alat kesehatan (alkes), PT Jayamas Medica Industri Tbk (OMED) mencatat kinerja keuangan...||04/05/2026, 15:15 WIB|https://www.emitennews.com/news/laba-emiten-alkes-omed-q1-2026-melejit-terdongkrak-belanja-pemerintah
386|LPIN Bagi Dividen Rp45 per Saham, Cek Jadwal Pentingnya Pekan Depan!. EmitenNews.com - PT Multi Prima Sejahtera Tbk (LPIN) resmi mengumumkan dividen tunai untuk tahun buku 2025 dengan total sebesar...||04/05/2026, 15:00 WIB|https://www.emitennews.com/news/lpin-bagi-dividen-rp45-per-saham-cek-jadwal-pentingnya-pekan-depan
387|Saham GOTO Anjlok ke Harga Gocap, Danantara hingga Analis Beri Suara!. EmitenNews.com - Saham PT GoTo Gojek Tokopedia Tbk. (GOTO) anjlok ke level Rp50 pada perdagangan Senin (4/5/2026). Tekanan jual...||04/05/2026, 14:45 WIB|https://www.emitennews.com/news/saham-goto-anjlok-ke-harga-gocap-danantara-hingga-analis-beri-suara
388|Prajogo Lepas 782 Juta Saham CUAN, Kokoh di Puncak Orang Terkaya RI. EmitenNews.com - Prajogo Pangestu melepas sebanyak 782,9 juta lembar saham yang dimilikinya di PT Petrindo Jaya Kreasi Tbk (CUAN)...||04/05/2026, 14:29 WIB|https://www.emitennews.com/news/prajogo-lepas-782-juta-saham-cuan-kokoh-di-puncak-orang-terkaya-ri
389|Hadapi Tekanan, Emiten Kerupuk Udang SKLT Kerek Harga Produk 10 Persen. EmitenNews.com - Manajemen PT Sekar Laut Tbk (SKLT) mengungkapkan berbagai tantangan usaha yang dihadapi, mulai dari tekanan...||04/05/2026, 14:25 WIB|https://www.emitennews.com/news/hadapi-tekanan-emiten-kerupuk-udang-sklt-kerek-harga-produk-10-persen
390|Hijrah ke Hong Kong, Elvira Lianita Mundur dari Direktur HMSP. EmitenNews.com - Hanjaya Mandala Sampoerna Tbk (HMSP), emiten industri rokok itu mengumumkan pengunduran diri Elvira Lianita...||04/05/2026, 13:45 WIB|https://www.emitennews.com/news/hijrah-ke-hong-kong-elvira-lianita-mundur-dari-direktur-hmsp
